cohort_month,cash_request_id,status,cash_request_amount
2020-08,12027.0,4,100.0
2020-08,12091.0,4,100.0
2020-08,12107.0,3,50.0
2020-08,12187.0,4,100.0
2020-08,12361.0,4,100.0
2020-08,12389.0,4,100.0
2020-08,12447.0,3,100.0
2020-08,12452.0,3,50.0
2020-08,12468.0,[4 4],100.0
2020-08,12469.0,3,45.0
2020-08,12477.0,4,100.0
2020-08,12499.0,3,100.0
2020-08,12520.0,3,100.0
2020-08,12540.0,,50.0
2020-08,12557.0,,100.0
2020-08,12623.0,3,50.0
2020-08,12658.0,3,100.0
2020-08,12691.0,3,50.0
2020-08,12697.0,3,100.0
2020-08,12710.0,2,50.0
2020-08,12716.0,4,50.0
2020-08,12744.0,3,100.0
2020-08,12903.0,4,50.0
2020-08,12906.0,4,100.0
2020-08,12932.0,3,100.0
2020-08,12952.0,3,30.0
2020-08,13056.0,4,100.0
2020-08,13072.0,3,50.0
2020-08,13092.0,3,100.0
2020-08,13289.0,3,100.0
2020-08,13320.0,4,50.0
2020-08,13330.0,4,100.0
2020-08,13338.0,2,100.0
2020-08,13365.0,3,100.0
2020-08,13431.0,4,100.0
2020-08,13468.0,3,100.0
2020-08,13564.0,3,50.0
2020-08,13742.0,2,100.0
2020-08,13765.0,3,100.0
2020-08,13819.0,4,45.0
2020-08,13822.0,3,50.0
2020-08,13877.0,3,50.0
2020-08,14076.0,2,50.0
2020-08,14150.0,3,20.0
2020-05,1556.0,3,200.0
2020-05,1566.0,3,100.0
2020-05,1625.0,2,100.0
2020-05,1655.0,3,100.0
2020-05,1682.0,3,100.0
2020-05,1773.0,3,100.0
2020-05,1859.0,3,100.0
2020-05,1880.0,4,100.0
2020-05,2009.0,3,100.0
2020-05,2118.0,3,100.0
2020-05,2134.0,3,100.0
2020-05,2201.0,3,100.0
2020-05,2220.0,3,100.0
2020-05,2265.0,2,100.0
2020-05,2266.0,3,20.0
2020-05,2283.0,3,50.0
2020-05,2286.0,3,100.0
2020-05,2289.0,3,100.0
2020-05,2294.0,3,100.0
2020-05,2300.0,3,100.0
2020-05,2327.0,3,100.0
2020-05,2339.0,3,100.0
2020-05,2340.0,3,100.0
2020-05,2345.0,3,100.0
2020-05,2347.0,3,70.0
2020-05,2358.0,3,100.0
2020-05,2380.0,3,100.0
2020-05,2385.0,3,50.0
2020-05,2396.0,3,100.0
2020-05,2403.0,3,100.0
2020-06,2409.0,3,70.0
2020-06,2430.0,3,100.0
2020-06,2435.0,3,100.0
2020-06,2438.0,3,100.0
2020-06,2455.0,3,100.0
2020-06,2456.0,3,100.0
2020-06,2457.0,3,100.0
2020-06,2465.0,3,50.0
2020-06,2466.0,3,50.0
2020-06,2468.0,3,100.0
2020-06,2507.0,3,100.0
2020-06,2518.0,3,100.0
2020-06,2521.0,3,50.0
2020-06,2533.0,3,100.0
2020-06,2544.0,3,100.0
2020-06,2549.0,3,100.0
2020-06,2554.0,4,100.0
2020-06,2560.0,4,100.0
2020-06,2570.0,3,50.0
2020-06,2583.0,2,100.0
